ena\area1_055_001.wav|ここが素材にも見映えにもこだわってるっていうパンケーキの店ね
ena\voice_card_ev_night_08_17_4b_14_19.wav|うん。まあ、ダメなところをはっきり指摘してくれるからどこを直せばいいのかはわかりやすいけどね
ena\voice_card_ev_night_08_17_4b_17_19.wav|まあね。前はそんな自分が惨めで嫌になってたけど……
ena\voice_card_ev_night_08_17_4b_18_19.wav|でも、逃げないって決めたから。なんとか踏ん張って頑張るよ
ena\voice_card_ev_night_08_17_4b_20_19.wav|まあダメダメな分、伸びしろもあるってことだと思うしね
ena\voice_card_ev_night_08_17_4b_22_19.wav|え、すごい？　私が？
ena\voice_card_ev_night_08_17_4b_27_19.wav|……ありがとう、奏
ena\voice_card_ev_night_08_17_4b_28_19.wav|でも、厳しい評価とか自分の実力不足をちゃんと受け止められるようになったのは、奏達のおかげだよ
ena\voice_card_ev_night_08_17_4b_30_19.wav|だって私、描きたいから
ena\voice_card_ev_night_08_17_4b_32_19.wav|うん。ただ描くんじゃなくて、私が奏の曲やまふゆの歌詞から感じたイメージを、私自身が感じたままの形で描きたいの
ena\voice_card_ev_night_08_17_4b_33_19.wav|やっぱり、好きだから。奏の曲も、まふゆの歌詞も……
ena\voice_card_ev_night_08_17_4b_35_19.wav|あ、今のはまふゆには絶対内緒ね。なんか悔しいから
ena\voice_card_ev_night_08_17_4b_38_19.wav|ん？
ena\voice_card_ev_night_08_17_4b_44_19.wav|……奏！
ena\voice_card_ev_night_08_17_4b_45_19.wav|うん……！　ありがとう、奏！
ena\voice_card_ev_night_08_17_4b_47_19.wav|えー。それを奏が言っちゃうの？
ena\voice_card_ev_night_08_17_4b_48_19.wav|奏のほうこそ、体調管理気をつけてよ？あと、ご飯はしっかり食べてね
ena\voice_card_ev_night_08_17_4b_50_19.wav|引き留めちゃってごめんね、奏。話せてよかった
ena\voice_card_ev_night_08_17_4b_51_19.wav|また夜、ナイトコードで！
ena\voice_card_ev_night_09_17_2a_03_19.wav|じゃあ、閉園時間も近いし、あとは帰るだけかな
ena\voice_card_ev_night_09_17_2a_06_19.wav|あとは帰るだけだし、最悪、ここではぐれたらそのまま解散って感じがいいかも
ena\voice_card_ev_night_09_17_2a_21_19.wav|今はぐれそうになってたのはむしろ奏だよ
ena\voice_card_ev_night_09_17_2a_26_19.wav|どうせ、駅までの道やバスもいっぱいだろうしね
ena\voice_card_ev_shuffle_21_17_4a_09_19.wav|私も。コードを出せばいい？
ena\voice_card_ev_shuffle_21_17_4a_12_19.wav|ともだち追加っていうアイコン出てない？……そう、それそれ！
ena\voice_card_ev_shuffle_21_17_4a_17_19.wav|うん、いいよ
ena\voice_card_ev_shuffle_21_17_4a_24_19.wav|奏、見て。今作った部屋にどういたしましてのスタンプきてるよ
ena\voice_card_ev_shuffle_21_17_4a_32_19.wav|ふーん。こういうタイプのスタンプ持ってないし、私も買ってみようかな
ena\voice_card_ev_shuffle_21_17_4a_40_19.wav|みのりちゃんもお疲れ～写真、私が撮ったのも貼っておくね
ena\voice_card_ev_shuffle_21_17_4a_47_19.wav|いいね、バンドの話。私も聞きたいかも最近できたいい感じのカフェを知ってるから、そことかどう？
ena\voice_card_ev_shuffle_21_17_4a_53_19.wav|多分起きてるよ。既読もついてるしね
ena\voice_card_ev_shuffle_21_17_4a_55_19.wav|このあと奏とサークルのことで話すと思うから、奏にはその時に聞いてみるね
ena\voice_card_ev_shuffle_21_17_4b_04_19.wav|もしかして、曲作り行き詰まってる？
ena\voice_card_ev_shuffle_21_17_4b_07_19.wav|やっぱり、Kもなったんだ。実は私も、今結構きてる……
ena\voice_card_ev_shuffle_21_17_4b_09_19.wav|ちゃ～んとって……。なんか含みがあるのが気になるけど……
ena\voice_card_ev_shuffle_21_17_4b_10_19.wav|たしかに、普段なら絶対しないってくらいしっかり運動してきたよね
ena\voice_card_ev_shuffle_21_17_4b_13_19.wav|あ、実はね——
ena\voice_card_ev_shuffle_21_17_4b_25_19.wav|調べたって、何を？
ena\voice_card_ev_shuffle_21_17_4b_27_19.wav|……URL？
ena\voice_card_ev_shuffle_21_17_4b_29_19.wav|あー……
ena\voice_card_ev_shuffle_21_17_4b_32_19.wav|K、ひょっとしてもう買っちゃった？
ena\voice_card_ev_shuffle_21_17_4b_34_19.wav|よかった！　こういうの使うのもありだけど、口コミとかちゃんと調べたほうがいいよ
ena\voice_card_ev_shuffle_21_17_4b_38_19.wav|あー、ダメダメ。少なくとも、ここのはやめたほうがいいよ
ena\voice_card_ev_shuffle_21_17_4b_40_19.wav|下のほうにスクロールしていくと、１カ月で10キロ痩せました！って人の写真があるでしょ？
ena\voice_card_ev_shuffle_21_17_4b_41_19.wav|その写真に写ってる人、動画サイトにヨガ系の動画アップしてる人なの。多分、勝手にお腹から下の画像を使ってるんだと思う
ena\voice_card_ev_shuffle_21_17_4b_44_19.wav|運動続けるなら、あんまり大変じゃなさそうなのがいいなって思って、私も調べてたから
ena\voice_card_ev_shuffle_21_17_4b_46_19.wav|とにかく。K、このサイトで売ってる物も、ここの会社の他の商品も絶対怪しいから、やめておいたほうがいいよ
ena\voice_card_ev_shuffle_21_17_4b_52_19.wav|たしかに、ひとりでやるよりは誰かと一緒のほうが楽しいかもね
ena\voice_card_ev_shuffle_21_17_4b_57_19.wav|ていうか、雪遅くない？まだ25時じゃないけど、そろそろログインしてきてもいいのに
ena\voice_card_ev_shuffle_21_17_4b_59_19.wav|ふーん、そうなんだ
ena\voice_card_ev_night_10_17_4a_13_19.wav|大丈夫だよ。５分しかすぎてないし
ena\voice_card_ev_night_10_17_4a_15_19.wav|は？　５分遅れたくらいでギャーギャー言うほど心狭くないし
ena\voice_card_ev_night_10_17_4a_17_19.wav|そうなの
ena\voice_card_ev_night_10_17_4a_18_19.wav|……でも珍しいね、Kが遅れるなんて。集中しちゃってたとか？
ena\voice_card_ev_night_10_17_4a_22_19.wav|うん、私も。Kの頭の中では曲が完成してるのかなーってくらいのイメージでいたかも
ena\voice_card_ev_night_10_17_4a_28_19.wav|……雪、もっとなんか考えられそうなこととか、アドバイスとかない？
ena\voice_card_ev_night_10_17_4a_29_19.wav|ほら、曲作りについてK以外でわかるのは雪だけでしょ？
ena\voice_card_ev_night_10_17_4a_34_19.wav|ごめん、K。全然力になれなくて……
ena\voice_card_ev_night_10_17_4b_06_19.wav|オッケー。——すみませーん、注文お願いしまーす！
ena\voice_card_ev_night_10_17_4b_12_19.wav|何それ。どんな方法？
ena\voice_card_ev_night_10_17_4b_14_19.wav|あー、カフェで勉強すると、なんとか効果のおかげで集中できるって言うしね
ena\voice_card_ev_night_10_17_4b_16_19.wav|あ、多分それ！雪も勉強する時カフェとか使ったりするんじゃない？
ena\voice_card_ev_night_10_17_4b_24_19.wav|奏、それ作曲用のノート？
ena\voice_card_ev_night_10_17_4b_27_19.wav|あ、それわかる！ちょっと線が細いのも、奏っぽい感じが——
ena\voice_card_ev_night_10_17_4b_31_19.wav|わ、私も……
ena\voice_card_ev_night_10_17_4b_48_19.wav|奏……
ena\voice_card_ev_night_10_17_4b_55_19.wav|たしかに、お互いの作業の様子なんてナイトコードじゃ見れないしね
ena\voice_card_18_02b_01_19.wav|こうして集まるのも、もう３回目くらい？
ena\voice_card_18_02b_03_19.wav|ほんと、最初は驚いたけどね。楽曲をひとつ配信するごとに、みんなで集まろうなんて
ena\voice_card_18_02b_04_19.wav|奏、本当に無理してない？前は、ノリ気じゃなかったよね……
ena\voice_card_18_02b_06_19.wav|そっか。よかった
ena\voice_card_18_02b_11_19.wav|えっ、家事代行！？　奏、そういうの頼んでるの？
ena\voice_card_18_02b_18_19.wav|へー。あんた、学校で話す相手なんているんだ。どんな子なの？
ena\voice_card_18_02b_20_19.wav|待って待って！　日野森雫って、Cheerful＊Daysのセンターだった、あの？
ena\voice_card_18_02b_23_19.wav|は？　顔はともかく、全体のバランスとか考えたら私だって……
ena\voice_card_18_02b_25_19.wav|してないから！　人聞きの悪いこと――
ena\voice_card_18_02b_30_19.wav|な、何、この圧……
ena\voice_card_18_02b_41_19.wav|知らない。彰人とはそういうこと話さないし
ena\voice_card_18_02b_43_19.wav|興味ないんだから仕方ないでしょ
ena\voice_card_18_02b_52_19.wav|ここ来るとあれ絶対に頼むよね、瑞希って
ena\voice_card_ev_night_01_18_04a_04_19.wav|……ま、いつも通りなんじゃない？
ena\voice_card_ev_night_01_18_04a_06_19.wav|ちょっと、勝手に変な解釈しないでよね。雪につきあったせいで新曲作りが遅れたんだし、これくらいはやってくれないと……
ena\voice_card_ev_night_01_18_04b_03_19.wav|私も落ちよっかな。いいかげん睡眠不足続いてるし
ena\voice_card_ev_night_01_18_04b_09_19.wav|ちょっと。人が落ちる寸前に声かけといて、無言はないんじゃない？
ena\voice_card_ev_night_01_18_04b_14_19.wav|……感情、ねえ。正直、あってもイライラするし、面倒なことばっかだけど……
ena\voice_card_ev_night_01_18_04b_15_19.wav|ま、悔しいって気持ちは、たまに役に立つかもね
ena\voice_card_ev_night_01_18_04b_17_19.wav|んー……別に、熱血キャラってわけじゃないけど。バカにされて悔しいからなんとかしてやるっていうのは思ったりするし
ena\voice_card_ev_night_01_18_04b_19_19.wav|Amiaうるさい
ena\voice_card_ev_night_01_18_04b_23_19.wav|なくなる？　目標を達成したらってこと？
ena\voice_card_ev_night_01_18_04b_25_19.wav|悔しさを感じなくなったら？
ena\voice_card_ev_night_01_18_04b_26_19.wav|んー……さあね。知らない。っていうか、そんなの私じゃないし
ena\voice_card_ev_night_01_18_04b_28_19.wav|そ。悔しさを感じない私なんてありえないし
ena\voice_card_ev_night_01_18_04b_32_19.wav|は？　なに、殴られたいわけ？
ena\voice_card_ev_night_01_18_04b_34_19.wav|はあ……あんたってホント……
ena\voice_card_ev_night_01_18_04b_36_19.wav|……そりゃ悔しい思いなんてしたくないけど。でも、もし“悔しい”って思ってなかったら今、ここに私はいないと思うわけ
ena\voice_card_ev_night_01_18_04b_37_19.wav|多分、“違う私”になってた
ena\voice_card_ev_night_01_18_04b_39_19.wav|それは……、うまく言えないけど
ena\voice_card_ev_night_01_18_04b_40_19.wav|でも、全然違う“東雲絵名”として全然違う毎日を送ってた気がするの
ena\voice_card_ev_night_01_18_04b_42_19.wav|う、それは……。とにかく、私じゃない私ってこと！うまく言えないけど、そんな感じ！
ena\voice_card_ev_night_01_18_04b_47_19.wav|いまいち気持ちがこもっていないんだけど？
ena\voice_card_ev_night_01_18_04b_49_19.wav|はぁ……。ま、今回は言葉にしただけ上出来って思っておいてあげるけど
ena\voice_card_ev_shuffle_01_18_3b_06_19.wav|賛成、ちょっと目がちかちかしてきちゃった
ena\voice_card_ev_shuffle_01_18_3b_16_19.wav|ふーん、やっぱそのあたりが定番なんだ？
ena\voice_card_ev_shuffle_01_18_3b_20_19.wav|げっ、それもしかして初対面の後輩と組まされたってこと？
ena\voice_card_ev_shuffle_01_18_3b_27_19.wav|でも震えてたんでしょ？単に怖がられてるってことじゃないの？
ena\voice_card_ev_night_18_4a_05_19.wav|みんな、ただいま！
ena\voice_card_ev_night_18_4a_07_19.wav|あれ？　雪しかいないの？
ena\voice_card_ev_night_18_4a_09_19.wav|ふーん……Amiaは？
ena\voice_card_ev_night_18_4a_11_19.wav|そうなんだ。じゃあ、しばらくは静かなままだね
ena\voice_card_ev_night_18_4a_13_19.wav|は？　私は別にうるさくないでしょ。Amiaが話しかけてこなければね
ena\voice_card_ev_night_18_4a_15_19.wav|そう！　あと、あんたが余計な一言言わなければね
ena\voice_card_ev_night_18_4a_16_19.wav|じゃ、私は“静かに”作業するから
ena\voice_card_ev_night_18_4a_22_19.wav|雪、今いい？
ena\voice_card_ev_night_18_4a_24_19.wav|そう。イラストのラフをちょっと見てほしくて
ena\voice_card_ev_night_18_4a_25_19.wav|昨日、Kに新曲用の歌詞見せてたでしょ？その歌詞からちょっとイメージしてみたんだけど……どう？
ena\voice_card_ev_night_18_4a_30_19.wav|……そう、わかった。じゃあ、表情とかもっと描きこんでみる
ena\voice_card_ev_night_18_4a_32_19.wav|あんたにいちいち怒ったってキリがないでしょ
ena\voice_card_ev_night_18_4a_34_19.wav|……雪？
ena\voice_card_ev_night_18_4a_35_19.wav|……言いたいことがあるなら言ったら？せっかく、それはできるようになったんだし
ena\voice_card_ev_night_18_4a_37_19.wav|何？
ena\voice_card_ev_night_18_4a_39_19.wav|そんなの、プライドがあるからに決まってるでしょ
ena\voice_card_ev_night_18_4a_40_19.wav|“これがいい”と思って描いたものを“ダメ”って言われたら“なんでよ！”ってなるでしょ？
ena\voice_card_ev_night_18_4a_42_19.wav|まあ、意見がほしくて見てもらってるんだから、ダメ出しくらうのはしょうがないんだけどね
ena\voice_card_ev_night_18_4a_44_19.wav|そういうこと
ena\voice_card_ev_night_18_4a_47_19.wav|当然でしょ？そうじゃなきゃ、こんなことずっと続けてられないし
ena\voice_card_ev_night_18_4a_50_19.wav|執着って……。ねちっこい女みたいな表現やめてくれる？
ena\voice_card_ev_night_18_4a_52_19.wav|あんたね……
ena\voice_card_ev_night_18_4a_55_19.wav|そうかもしれないけど……
ena\voice_card_ev_night_18_4a_56_19.wav|でも、“ない”のと、“わからない”は違うでしょ
ena\voice_card_ev_night_18_4a_58_19.wav|じゃあ、私、作業戻るから
ena\voice_card_ev_night_18_4b_08_19.wav|……ねえ、みんな、ちょっといい？
ena\voice_card_ev_night_18_4b_10_19.wav|とりあえずね。みんなにラフ送ったから、見てほしくて
ena\voice_card_ev_night_18_4b_12_19.wav|えっと……みんな、どう？
ena\voice_card_ev_night_18_4b_16_19.wav|わかってる！　そのためにこうやって描いてるんでしょ
ena\voice_card_ev_night_18_4b_17_19.wav|……で、雪は？　なんか意見ないの？
ena\voice_card_ev_night_18_4b_19_19.wav|…………
ena\voice_card_ev_night_18_4b_21_19.wav|そう。みんなありがとう、参考にするね
ena\voice_card_ev_night_18_4b_23_19.wav|はいはい。怒る理由もないのに怒ったりしないから
ena\voice_card_ev_night_18_4b_24_19.wav|じゃあ私、作業の続きするね
ena\voice_card_ev_night_18_4b_30_19.wav|このサイト、ちょっと見てくれる？
ena\voice_card_ev_night_18_4b_35_19.wav|見たらわかるでしょ。なんとなく気が向いて、調べてたら見つけたの。いいから、読んでみてよ
ena\voice_card_ev_night_18_4b_45_19.wav|参考になりそうだったら使って
ena\voice_card_ev_night_18_4b_48_19.wav|気が向いたから調べてたって、最初に書いたでしょ
ena\voice_card_ev_night_18_4b_50_19.wav|最近、イラストへの意見ももらってるし、ちょっとお節介焼きたくなっただけ
ena\voice_card_ev_night_18_4b_51_19.wav|……なんだかんだ、あんたの意見って的確なんだよね
ena\voice_card_ev_night_18_4b_52_19.wav|昨日見てもらったラフも、背景どうするかまだちゃんと決めてなくて……。そしたら、あんたに邪魔って言われた
ena\voice_card_ev_night_18_4b_53_19.wav|言いかたはともかく、内容には納得できる
ena\voice_card_ev_night_18_4b_55_19.wav|あと、せっかく才能もセンスもあるのに持て余してるなんてもったいないでしょ
ena\voice_card_ev_night_18_4b_56_19.wav|雪が自分の気持ちをちゃんとわかるようになればニーゴの曲ももっと良くなって、Kの力にだってなってあげられるし
ena\voice_card_ev_night_18_4b_57_19.wav|そのためのお節介
ena\voice_card_ev_night_18_4b_60_19.wav|ま、感情をどうこうするのはさすがに難しいから、味覚のほうを調べてみたわけ
ena\voice_card_ev_night_18_4b_61_19.wav|じゃあ、伝えることは伝えたから。さっきのサイトも、参考にするなりなんなり好きにして
ena\voice_ev_night_03_05_29_19.wav|ここって……学校？
ena\voice_card_ev_night_03_18_2b_01_19.wav|じゃあ、K。イラストはこの方向で進めるね！
ena\voice_card_ev_night_03_18_2b_07_19.wav|今日は静かに作業してると思ったら、そんなことしてたの？
ena\voice_card_ev_night_03_18_2b_08_19.wav|ま、作業の切りいいし、ちょっと見ちゃおうかな
ena\voice_card_ev_night_03_18_2b_14_19.wav|あ、電車の中で撮った写真！へえ、窓から見える景色もちゃんと入ってて、旅行写真っぽくなってるじゃん
ena\voice_card_ev_night_03_18_2b_16_19.wav|はぁ？　思い出話って何を話すわけ？電車の中の写真以外、全部心霊スポットの写真じゃん
ena\voice_card_ev_night_03_18_2b_18_19.wav|はいはい……
ena\voice_card_ev_night_03_18_2b_22_19.wav|じゃあ、やめよっか。見るの
ena\voice_card_ev_night_03_18_2b_36_19.wav|え……？
ena\voice_card_ev_night_03_18_2b_40_19.wav|ちょ、ちょっと……雪？
ena\voice_card_ev_night_03_18_2b_44_19.wav|き、きっと、あの廃校を遊び場にしてる地元の子なんじゃない？
ena\voice_card_ev_night_03_18_2b_48_19.wav|行ったの！？
ena\voice_card_ev_night_03_18_2b_51_19.wav|ちょっと、何納得してんの！？
ena\voice_card_ev_night_03_18_2b_55_19.wav|K！　怖いこと言わないでよ～
ena\voice_ev_night_04_01_88_19.wav|わあ、オシャレなイントロ……！こういうの好きだなあ
ena\voice_card_ev_night_04_19_2a_07_19.wav|待って、雪。ちょっと話したいことがあるんだけど……
ena\voice_card_ev_night_04_19_2a_10_19.wav|Kに、もっと何か言ってあげることないわけ？
ena\voice_card_ev_night_04_19_2a_11_19.wav|どれだけいろんなことを考えて、頑張って曲を作ってるか……。想像するくらいできるでしょ
ena\voice_card_ev_night_04_19_2a_20_19.wav|ちょっとは感じられるようになったんだから、もっと自分で考えて言葉にしたら？
ena\voice_card_ev_shuffle_11_18_2b_09_19.wav|ただいまー
ena\voice_card_ev_shuffle_11_18_2b_10_19.wav|はあ、今日の授業疲れた～
ena\voice_card_ev_shuffle_11_18_2b_13_19.wav|しょうがないでしょ、本当に疲れたんだから……
ena\voice_card_ev_shuffle_11_18_2b_14_19.wav|……あ。ねえ、それよりさ。これ見てくれない？
ena\voice_card_ev_shuffle_11_18_2b_18_19.wav|でしょ？　こういう時のために、ナイトモード搭載のカメラ付きスマホにしてるんだから！
ena\voice_card_ev_shuffle_11_18_2b_22_19.wav|私は、これからお月見団子食べようかなって思ってる。お母さんが買ってきてくれたんだ
ena\voice_card_ev_shuffle_11_18_2b_24_19.wav|このくらいの量で、太るわけないでしょ。ちゃんとカロリー計算してるんだから
ena\voice_card_ev_shuffle_11_18_2b_25_19.wav|そういうAmiaは、何かしたの？
ena\voice_card_ev_shuffle_11_18_2b_34_19.wav|そうかもしれないけど……風情がないっていうか。そういうことじゃなくない？
ena\voice_card_ev_shuffle_11_18_2b_37_19.wav|え、今から？　まあ、いいけど……
ena\voice_card_ev_shuffle_11_18_2b_47_19.wav|そういうことじゃなくって！あんたはほんっとに風情がないんだから
ena\voice_card_ev_shuffle_11_18_2b_52_19.wav|あ、うちから見える月も縁がぼんやりしてる。それにちょっと曇ってるけど、これはこれで構図的にはありかも
ena\voice_card_ev_shuffle_11_18_2b_63_19.wav|急に月を見ようって言いだして、何かと思ったら、そういうこと？
ena\voice_ev_night_06_02_03_19.wav|はいはい、乾杯。相変わらずテンション高いんだから。ちょっとは落ち着いたら？
ena\voice_card_ev_night_06_18_4a_38_19.wav|ねえ、ポテトをもうひと皿頼もうかっていう話をしてたんだけどどうする？
ena\voice_card_ev_night_06_18_4a_40_19.wav|はいはい。あんたに聞いてないから
ena\voice_card_ev_night_06_18_4b_44_19.wav|よし、25時ぴったり！間に合ったー。みんなお疲れー
ena\voice_card_ev_night_06_18_4b_46_19.wav|違う違う。のんびりお風呂に入りすぎただけ
ena\voice_card_ev_night_07_18_4a_03_19.wav|あ、噂をすれば……
ena\voice_card_ev_night_07_18_4a_07_19.wav|初めて知ることとかもあったし、聞けてよかったって話をしてたところ
ena\voice_card_ev_night_07_18_4a_09_19.wav|はあ、相変わらずノリ悪いんだから
ena\voice_card_ev_night_07_18_4a_12_19.wav|あ、それ私も聞きたいかも！
ena\voice_card_ev_night_07_18_4a_18_19.wav|えっ、心理テスト！？Kと雪が？
ena\voice_card_ev_night_07_18_4a_25_19.wav|まあたしかに、ちょっと興味あるかも
ena\voice_card_ev_night_07_18_4a_26_19.wav|ちなみに、結構当たってたりした？
ena\voice_card_ev_night_07_18_4a_34_19.wav|ん……私はどうせなら豪華客船がいいな。大きくて、招待された人しか乗れない感じ！
ena\voice_card_ev_night_07_18_4a_36_19.wav|え、本当？
ena\voice_card_ev_night_07_18_4a_38_19.wav|わ……似てるっていうかほぼ同じじゃん
ena\voice_card_ev_night_07_18_4a_44_19.wav|動物か……。あ、ハリネズミとかチンチラがいいなあ。小さくて可愛いし！
ena\voice_card_ev_night_07_18_4a_46_19.wav|そ、そんなわけないでしょ！いいから、Amiaも早く答えてよ
ena\voice_card_ev_night_07_18_4a_48_19.wav|へえー。たしかにAmiaっぽいかも。で、Kと雪は？
ena\voice_card_ev_night_07_18_4a_51_19.wav|こわっ！　ふたりとも違う意味で怖いんだけど！
ena\voice_card_ev_night_07_18_4a_56_19.wav|や、野心……？
ena\voice_card_ev_night_07_18_4a_58_19.wav|ということは、乗りにくい船は……？
ena\voice_card_ev_night_07_18_4a_61_19.wav|は？　それ誰のこと言ってるの？
ena\voice_card_ev_night_07_18_4a_65_19.wav|えっと……ハリネズミもチンチラもペットのほうに入る、よね？
ena\voice_card_ev_night_07_18_4a_71_19.wav|そもそも、その考えかたでいったら、ライオンだって家畜になっちゃうでしょ
ena\voice_card_ev_night_07_18_4a_77_19.wav|それが一番怖いんだけど……
ena\voice_card_ev_night_07_18_4a_82_19.wav|だね。心理テストありがと、おもしろかった！じゃあ、一度ミュートするね
ena\voice_card_ev_night_07_18_4b_41_19.wav|——き。ねえ、雪。ちょっと、聞いてるの？
ena\voice_card_ev_night_07_18_4b_43_19.wav|もう……。さっき送ったラフの感想、教えてって言ったの
ena\voice_card_ev_night_07_18_4b_52_19.wav|ふうん。雪がKの心配ねえ……
ena\voice_card_ev_night_07_18_4b_54_19.wav|いや、そんなこと聞かれても……
ena\voice_card_ev_night_07_18_4b_58_19.wav|まあ、倒れたことがあるって聞いたあとだし、今は大丈夫だろうってわかってても、ちょっと心配だよね
ena\voice_card_ev_night_07_18_4b_63_19.wav|ていうか、早くラフ見てよ。あと見てくれてないの雪だけなんだから
ena\voice_card_bd_202201_18_4a_08_19.wav|好きにって、自分の誕生日でしょ。なんか欲しい物とか——
ena\voice_card_bd_202201_18_4a_10_19.wav|即答だし……
ena\voice_card_bd_202201_18_4a_12_19.wav|はあ！？
ena\voice_card_bd_202201_18_4a_16_19.wav|祝われる本人よりAmiaのほうが楽しそうに見えるんだけど……
ena\voice_card_bd_202201_18_4b_64_19.wav|まふゆ、誕生日おめでと。うまく言えないけど、最近のまふゆは少し……本っ当に少しだけど、マシになってきてると思うから、その調子でよろしく
ena\voice_card_ev_night_08_18_3b_02_19.wav|あ、雪も来た。ねえ、今ちょうどチャットでラフを送ったから見てくれない？
ena\voice_card_ev_night_08_18_3b_04_19.wav|待っててもらったあの曲のイラスト。ようやくできたの
ena\voice_card_ev_night_08_19_4b_39_19.wav|…………。どう、かな？
ena\voice_card_ev_night_08_19_4b_41_19.wav|…………！
ena\voice_card_ev_night_08_19_4b_44_19.wav|ね、ねえ……雪はどう？
ena\voice_card_ev_night_08_19_4b_50_19.wav|雪も、気になるところがあったら言ってよね
ena\voice_card_ev_night_08_18_3b_13_19.wav|うっ……。なるべくそっと入れこんだつもりだったけど……
ena\voice_card_ev_night_08_18_3b_14_19.wav|でも、私もちょっと感じてたところだし、減らしてみようかな
ena\voice_card_ev_night_08_18_3b_16_19.wav|え？
ena\voice_card_ev_night_08_18_3b_21_19.wav|なるほど……。でもそれ結局、入れてるものを減らすってことにならない？
ena\voice_card_ev_night_08_18_3b_27_19.wav|差分を、３枚？
ena\voice_card_ev_night_08_18_3b_30_19.wav|ああ、たしかにそれは良さそうかも
ena\voice_card_ev_night_08_18_3b_34_19.wav|ごめん、Amia。その例えはよくわかんない
ena\voice_card_ev_night_08_18_3b_38_19.wav|何回も言わなくてもわかってるってば！
ena\voice_card_ev_night_08_18_3b_39_19.wav|……ねえ、雪。このあとちょっと時間くれない？歌詞を作った雪と調整したほうが、モチーフの位置とか決めやすそうだし
ena\voice_card_ev_night_08_18_3b_43_19.wav|まったく、調整するこっちの気も知らないで
ena\voice_card_ev_night_08_18_3b_45_19.wav|え？　そんなの当然でしょ
ena\voice_card_ev_night_08_18_3b_46_19.wav|ん？　ちょっと、みんなどうかしたの？
ena\voice_card_ev_night_08_18_3b_49_19.wav|……？　ま、いっか。じゃあ、雪。よろしく
ena\voice_card_ev_night_09_18_4a_05_19.wav|めちゃくちゃ光るって何？普通のも光るんでしょ？
ena\voice_card_ev_night_09_18_4a_10_19.wav|ちょっと、なんだか顔色悪くない？
ena\voice_card_ev_night_09_18_4a_16_19.wav|あ、来るのが遅れてブレスレットもらえなかったのかな？
ena\voice_card_ev_night_09_18_4a_22_19.wav|はいはい
ena\voice_card_ev_night_09_18_4a_28_19.wav|……わっ！　光りだした！
ena\voice_card_ev_night_09_18_4a_29_19.wav|あっ！　ひょっとしてまふゆがあげたブレスレット、当たりだったんじゃない？
ena\voice_card_ev_night_09_18_4a_36_19.wav|あ。ねえ見て、まふゆ！あの後輩の子が何かするみたい
ena\voice_card_ev_night_09_18_4a_46_19.wav|そう？　ならいいけど……
ena\voice_card_ev_night_09_18_4a_47_19.wav|あ！　あっちに行くともっといい感じに見れそう。ほら、バックに観覧車もあるし、写真映えめちゃくちゃ良さそうじゃない？
ena\voice_card_ev_night_09_18_4a_50_19.wav|ほら、まふゆも。ボーっとしてたら、また迷子になるでしょ
ena\voice_ev_night_10_01_44_19.wav|……ねえ、雪。最近、お母さんとはどうなの？
ena\voice_ev_night_10_01_51_19.wav|——……そ。まぁ、雪が平気ならいいけど
ena\voice_ev_night_10_01_52_19.wav|でも……またなんかあったら言いなさいよね
ena\voice_card_19_01a_32_19.wav|……！　何？
ena\voice_card_19_01a_34_19.wav|ジャケット？　……ああ、絵の参考に借りたやつ。……はい、これでしょ？
ena\voice_card_19_01a_36_19.wav|あ、ちょっと待って
ena\voice_card_19_01a_38_19.wav|あんた、どうせ週末暇でしょ。ちょっと付き合ってよ
ena\voice_card_19_01a_40_19.wav|……チーズケーキ
ena\voice_card_19_01a_42_19.wav|美味しいお店を、サークル仲間が教えてくれたの。ほら、この店
ena\voice_card_19_01a_44_19.wav|焼き方とかチーズのコクにこだわりがあるとか書いてあってよくない？
ena\voice_card_19_01a_46_19.wav|起こして
ena\voice_card_19_01a_49_19.wav|いいよ、それで
ena\voice_card_19_01a_51_19.wav|ふふん、私にも一緒に行く相手ぐらいいるんだからっ。さ、ミュート解除して、ボイチャにもど――
ena\voice_card_19_01a_52_19.wav|あれ……オンになって……
ena\voice_card_19_01b_01_19.wav|はぁ……今日も授業かぁ……
ena\voice_card_19_01b_02_19.wav|あ、そうだ！　家出る前にあげた自撮り、伸びてるかな
ena\voice_card_19_01b_03_19.wav|ふふっ　いいね増えてる増えてる
ena\voice_card_19_01b_04_19.wav|あ、このフォロワー、新しいアクセサリーだって気づいてくれてる。前つぶやいたブランドだってことも……
ena\voice_card_19_01b_05_19.wav|しかもフォロワーまで増えてる……！
ena\voice_card_19_01b_06_19.wav|みんな気づいてるかな？もしかしてフォロワー増えてるっぽい？……と
ena\voice_card_19_01b_07_19.wav|ふふ、どれくらい反応くるかな
ena\voice_card_19_01b_08_19.wav|わ、もう授業始まっちゃう。もっと見てたかったけど、仕方ないか
ena\voice_card_19_01b_09_19.wav|リプ確認は授業後の楽しみにしよーっと
ena\voice_card_19_01b_10_19.wav|はぁ、疲れた……さて、フォロワーの反応は
ena\voice_card_19_01b_11_19.wav|あっ、コメントいっぱいついてる！
ena\voice_card_19_01b_12_19.wav|ふふふっ。フォロワーのこと、ちゃんと気づいてくれてる
ena\voice_card_19_01b_13_19.wav|みんなにも報告しよーっと。えーっと、ボイチャじゃなくてメッセージでいっか
